ticker,date,compound,stock_price
AAPL,2023-11-02,-0.0029838709677419343,177.3363800048828
TSLA,2023-11-02,0.05335714285714287,218.50999450683594
AAPL,2023-11-03,0.032966666666666665,176.41757202148438
TSLA,2023-11-03,0.036627586206896545,219.9600067138672
AAPL,2023-11-06,0.03465365853658536,178.9941864013672
TSLA,2023-11-06,0.007804651162790702,219.27000427246094
AAPL,2023-11-07,0.10909999999999999,181.58078002929688
TSLA,2023-11-07,0.10006333333333334,222.17999267578125
AAPL,2023-11-08,0.1147975,182.6493682861328
TSLA,2023-11-08,-0.010119230769230768,222.11000061035156
AAPL,2023-11-09,0.08648333333333333,182.1699981689453
TSLA,2023-11-09,0.06631818181818182,209.97999572753906
AAPL,2023-11-10,0.21272666666666668,186.39999389648438
TSLA,2023-11-10,0.12017037037037037,214.64999389648438
AAPL,2023-11-13,0.16625,184.8000030517578
TSLA,2023-11-13,0.08929333333333332,223.7100067138672
AAPL,2023-11-14,0.189645,187.44000244140625
TSLA,2023-11-14,-0.03991315789473684,237.41000366210938
AAPL,2023-11-15,0.14140882352941175,188.00999450683594
TSLA,2023-11-15,0.09259655172413794,242.83999633789062
AAPL,2023-11-16,0.0042166666666666585,189.7100067138672
TSLA,2023-11-16,0.026794444444444444,233.58999633789062
AAPL,2023-11-17,0.0329625,189.69000244140625
TSLA,2023-11-17,-0.046390909090909094,234.3000030517578
AAPL,2023-11-20,0.213625,191.4499969482422
TSLA,2023-11-20,0.10673529411764704,235.60000610351562
AAPL,2023-11-21,-0.04806071428571428,190.63999938964844
TSLA,2023-11-21,0.107,241.1999969482422
AAPL,2023-11-22,0.08213636363636365,191.30999755859375
TSLA,2023-11-22,-0.033608695652173906,234.2100067138672
AAPL,2023-11-24,0.07084736842105263,189.97000122070312
TSLA,2023-11-24,-0.15365,235.4499969482422
TSLA,2023-10-31,-0.2144111111111111,200.83999633789062
TSLA,2023-11-01,0.11295882352941178,205.66000366210938
